like,好き
speak,話す、しゃべる
need,〜を必要とする、〜する必要がある
piano,ピアノ
running,ランニング、走ること
eat,〜を食べる
clean,〜を掃除する、きれいな
bread,パン
chalk,チョーク
go,行く、向かう
run,走る
stay,滞在する、とどまる
uncle,おじ(父母の兄・弟)
there,そこに、そこで、そこへ
to,〜へ、〜に
help,〜を手伝う、助ける
often,よく、しばしば
early,(時間的に)早く、早い
play,遊ぶ、する、演奏する
know,〜を知っている、〜を理解している
watch,(腕)時計、(じっと)見る
Chinese,中国語、中国人、中国の
hospital,病院
have,〜を持っている、〜を食べる
delicious,とてもおいしい
cake,ケーキ
air,空気、大気、雰囲気
live,住む、生きる、暮らす
visit,〜を訪ねる、〜へ行く
come,来る、行く
aunt,おば(父母の姉・妹)
here,ここに、ここで、ここへ
get,手に入れる、得る
always,いつも、常に
sometimes,時々、時には
slowly,ゆっくり(と)
love,愛、愛情、大好きである
use,使う、利用する
new,新しい、新入りの
shopping,買物(をすること)
drink,〜を飲む
strong,強い、頑丈な
coffee,コーヒー
chocolate,チョコレート
water,水
walk,歩く、散歩
arrive,〜に着く、到着する
study,〜を勉強する
park,公園
abroad,外国に(へ)
practice,〜を練習する、行う
usually,たいてい、ふつうは
well,上手に、よく、十分に
hard,一生懸命に、難しい
late,遅れた、遅刻した
every,あらゆる、毎〜
morning,朝、午前
breakfast,朝食
milk,牛乳、ミルク
do,〜をする
room,部屋、空間、場所
up,上へ(に)
bath,風呂、入浴、浴槽
evening,夜、夕暮れ、夕方
dinner,夕食、ディナー
after,〜の後に(で)
movie,映画
take,〜を取る、〜を持っていく
day,日、1日、日中
night,夜、晩
game,ゲーム、試合、競技
before,〜よりも前に、〜する前に
much,多くの、たくさんの
get up,起きる、立ち上がる
take a bath,風呂に入る
very much,とても、非常に
