climb,(~に)登る
homework,宿題
grandparent,祖父、祖母、〔~sで〕祖父母
beach,浜辺、ビーチ
yo-yo,ヨーヨー
eat,(~を)食べる、食事をする
do one's homework,宿題をする
during,~の間ずっと、~の間に
just,ただ~だけ、~にすぎない
also,~もまた、さらに
sound,(聞いたり読んだりして)~に思われる、~に聞こえる
get,~(の状態)になる
have,~を受ける、~を行う、~をする
walk,(動物を)散歩させる
weekend,週末
home,家に[へ]
get up,起きる、起床する
camping,キャンプ(すること)
visit,~を訪ねる
library,図書館
try,(~を)試みる、(~を試しに)やってみる
festival,祭り、催し
watermelon,スイカ
family,家族
boring,退屈な、つまらない
every,毎~
every year,毎年
late,(平常・定刻より)遅く
lesson,授業
video,動画、ビデオ
stay,(場所に)とどまる、いる
grandfather,祖父
Sounds fun.,楽しそう。
on weekends,週末に
at,〔地点・場所〕~に[で]
really,本当に、本当は
of course,もちろん
use,~を使う
ta-da,タダーン、ジャーン
course,針路、進路、方向
computer,コンピュータ
Really?,えっ、本当？
those,〔that の複数形〕それら、あれら
yeah,うん、ああ、はい
heavy,重い
pro,プロ、熟練者
they're,they are の短縮形
shaved ice,かき氷
goldfish scooping,金魚すくい
take a picture,写真を撮る
balloon,ゴム風船
they,それらは、彼らは
OK,〔会話の切り出し・話題転換〕それでは、じゃあ
take,(写真を)撮る
love,~が大好きである
Oh no.,まさか。ひどい。
like,~に似た、~のような
