junior high school,中学校
newsletter,ニュースレター
teacher,先生、教師
Japanese,国語(の)、日本語(の)
P.E.,〔教科としての〕体育
she,彼女は、彼女が
strict,厳しい、厳格な
his,彼の
she's,she is の短縮形
he's,he is の短縮形
funny,おかしい、おもしろい
main,主な、主要な
strong,強い、たくましい
science,科学
social studies,社会科
art,〔教科としての〕美術、芸術
he,彼は、彼が
popular,人気のある
famous,有名な
character,登場人物、キャラクター
I see.,わかりました。なるほど。
who,誰、誰が
player,選手、競技者
ask,(人に)たずねる、~に質問する
who's,who is の短縮形
isn't,is not の短縮形
actor,(女性も含め一般的に)俳優
artist,芸術家
dancer,ダンサー、踊る人
musician,ミュージシャン
her,彼女の
powerful,力強い
maybe,もしかしたら、~かな
him,彼を、彼に
singer,歌手
astronaut,宇宙飛行士
athlete,運動選手、運動好きな人
tough,たくましい、丈夫な
game,(娯楽の)ゲーム、競技
~ isn't he?,(彼は)~ですよね？
Let's ~.,~しよう。
front,前方、前部、正面
plan,見取り図、フロアガイド
building,建物
over,越えて、向こう側へ
neighbor,近所の人、隣人
in front of ~,~の前に[で・の]
over here,こちらに
hospital,病院
high school,高校
guess,推測する、(答えなどを)言い当てる
floor,(建物の個々の)階
floor plan,見取り図
classroom,教室
classmate,同級生
gym,体育館、ジム
restaurant,レストラン
small,小さい
