cheer,元気づく
grandma,おばあちゃん
grandpa,おじいちゃん
mother,母親
father,父親
aunt,おば
child,(親に対して)子
sister,姉、妹、姉妹
cousin,いとこ
Felix,フェリックス〔Tinaたちが飼っているネコの名〕
Cheer up.,元気を出して。
has,have の3人称単数現在形
give,屈する
a lot of ~,たくさんの~
give up,あきらめる
cook,(~を)料理する、~を作る
omelet,オムレツ
grandmother,祖母
grandfather,祖父
parent,親、〔~sで〕両親
mom,お母さん、ママ
dad,お父さん、パパ
uncle,おじ
children,child の複数形
brother,兄、弟、兄弟
active,活発な、元気な
lot,〔a lotで〕たくさんのこと[もの]
quiet,静かな
these days,このごろ、最近
breakfast,朝食
almost,ほとんど、もう少しで
bicycle,自転車
does,do の3人称単数現在形
Steve,スティーブ〔人物の名〕
all right,〔All right.で〕よろしい。はい。結構です。
in bed,(ベッドで)寝ている
have a cold,風邪をひいている
doesn't,does not の短縮形
work,働く、勤めている
France,フランス
train,列車、電車
I don't know.,わかりません。
Christmas,クリスマス
dear,おや、まあ
cold,風邪
Oh dear!,おや、まあ。
Puerto Rico,プエルトリコ
China,中国
station,駅
~ please.,~をください。
All right.,よろしい。はい。結構です。
sure,(~を)確信して、確かで
sleep,眠る
worry,心配する、気にする
need,~を必要とする
a lot,よく、大いに
go to school,学校に行く、通学する
... not ~ either,…もまた~しない[でない]
a little bit,ほんの少し、ちょっと
set,(食卓の)準備をする
out,外へ(出て)
wash,~を洗う
take out ~,~を出す、~を取り出す
either,…もまた~しない[でない]
bit,少し、ちょっと
rest,休息、休憩
table,テーブル
garbage,ごみ、生ごみ
at home,家で[に]
Don't worry.,心配しないでください。
take,~を持って行く、~を連れて行く
clear,~を片づける、~をきれいにする
dish,皿、〔the ~esで〕食器類
