pass,(ボール)をパスする
problem,問題、課題
easy,簡単な、易しい、楽な
on the way home,家に帰る途中で
action,アクション
ball,ボール、玉
beginner,初心者
actually,実は、実際は
difficult,難しい、困難な
No problem.,問題ありません。
You think so?,そう思いますか。
point,(成績・競技などの)点数
important,重要な、大切な
try to ~,~しようと試みる[努力する]
win,(競技・競争に)勝つ
improve,~を向上させる、~を改善する
shoot,シュートをする
stop,~を止める
surfing,サーフィン
It worked.,うまくいきました。
Go ~!,行け、~！
congratulation,祝いの言葉
teach,~を教える、(人)に教える
progress,進歩、前進
could,can の過去形
do a great job,うまくやってのける
thanks to ~,~のおかげで
make progress,上達する、進歩する
Practice makes perfect.,〔ことわざ〕練習を続ければ完璧になる。
be proud of ~,~を誇りに思っている
learn,(~を)習う、学ぶ
What do you think?,どう思いますか。
job,仕事、作業
taught,teach の過去形、過去分詞
believe,(~を)信じる、(~だと)思う
proud,誇りにしている
song,歌、歌曲
Congratulations!,おめでとう(ございます)。
You did it!,やりましたね。
I'm sure ~.,きっと~だ。
