Singapore,シンガポール
invite,~を招く
kid,冗談を言う、からかう
tomorrow,明日(は)
the day after tomorrow,明後日
look forward to -ing,~(すること)を楽しみに待つ
relative,親戚
jealous,うらやましく思って
serious,本気の、真剣な
forward,先へ
I'd like to ~.,~したいです。
Are you kidding?,まさか。冗談でしょう。
email,Eメール、電子メール
pack,(~を)詰める、荷造りする
forget,(~を)忘れる
sunglasses,サングラス
will,〔未来を表して〕~だろう、~しよう、~するつもりだ
arrive,着く、到着する
care,世話、注意
be ready for ~,~の準備ができている
it'll,it will の短縮形
I'll,I will の短縮形
cloud,雲
snow,雪
wind,風
weather,天気、天候
all day,一日中
won't,will not の短縮形
flight,飛行機の旅、飛行機の便
week,週
sunscreen,日焼け止め
airport,空港
rainy,雨の、雨降りの
snowy,雪の、雪の降る
windy,風の強い、風のある
mind,~を気にする
subject,(Eメールの)件名
Take care.,じゃあ、またね。
Changi Airport,チャンギ空港
both,両方、2人[つ]とも
stall,屋台
go straight home,まっすぐ家に帰る
show ~ around,~を案内して回る
Merlion Park,マーライオン公園
aquarium,水族館
picnic,ピクニック
a bit,少し、ちょっと
have a picnic,ピクニックをする
if,もし~ならば
excellent,すばらしい、非常に優れた
swimming pool,プール
Welcome to ~!,~へようこそ。
Same here.,私も同じです。
