stage,舞台、ステージ
argument,口論
be hard on ~,~に厳しく当たる
try one's best,全力を尽くす
director,監督、演出家
design,~をデザインする
role,役
make up,仲直りをする
push,~を押す
narrator,語り手
costume,衣装
Come on.,さあさあ。
you know,ほらあの、ねえ。
I didn't mean it.,そういうつもりではなかったんだ。
performance,公演、上演
fix,~を修理する
preparation,準備
do fine,ちゃんとする
in ~ minute(s),あと~分で
sky,空
breeze,(心地よい)そよ風
suit,衣服、~服
last-minute,最終の、ぎりぎりの
lose,~を失う、~をなくす
sea,海
sea breeze,海風
We're on in five minutes.,あと5分で出番だ。
clear,晴れた
Valentine's (Day),バレンタインデー
chocolate,チョコレート
go well,うまくいく
Happy Valentine's!,ハッピーバレンタイン！
make ~ of ...,…で~を作る
written,write の過去分詞
soybean,大豆
America,アメリカ
Asian,アジア人(の)
built,build の過去形、過去分詞
treasure,宝物
taken,take の過去分詞
soft,柔らかい
Europe,ヨーロッパ
build,~を建てる、~を作る
~ as well as ...,…だけでなく~も
a second,ちょっとの間
Do you have a second?,ちょっといいですか。
I love it!,とても気に入りました。
