discover,～を発見する
finally,ついに、やっと
actor,俳優
How is ~?,～はどうですか。
Great.,すばらしい、とても楽しい
be into ~,～に熱中している
because,～だから、～なので
side,側、面
musical,ミュージカル
The Lion King,「ライオンキング」〔作品名〕
fashion,人気のもの、ファッション
been,be の過去分詞
have never been to ~,～に行ったことがない
foreigner,外国人
Pokémon,ポケモン〔アニメのタイトル〕
regional,地方の、地域の、局地的な、地方特有の
martial arts,武道
have been to ~,～に行ったことがある
be excited to ~,～することにわくわくしている
want to ~,～したい
ever,今まで、かつて
I've,I have の短縮形
haven't,have not の短縮形
That's nice to hear.,それを聞いてうれしいです。
so much fun,とても楽しい
genre,ジャンル、部門、分野
adult,おとな、成人、成長した動物
animation,アニメーション、動画
delicate,上品な、優美な、繊細な
match,～と調和する、～に匹敵する
global,全世界の、世界的な、地球上の
adventure,冒険、冒険心
quality,質、品質、良質
drawing,絵、図、スケッチ
addition,足し算、加えること
positive,肯定的な、前向きな
in addition,そのうえ、さらに
~ such as …,…のような～
more and more,ますます多くの
ignore,～を無視する、見て見ないふりをする
root,起源
express,～を表現する、言い表す
scroll,巻物、掛け軸
influence,～に影響を及ぼす
taste,味、味覚
entirely,全く、すっかり
existence,存在すること、生存
drawn,draw の過去分詞
movement,動き
technique,手法、テクニック
advantage,有利な点、強み
link,～をつなぐ、連結する
It is said that ~.,～であると言われている。
take advantage of ~,～を利用する
become something,～なものになる
